,skills,company_name,job_title,job_type,job_seniority,job_category,job_min_salary,job_max_salary,job_sal_type,job_description_p,job_description_li,job_requirement_p,job_requirement_li
347,"['business development', 'new business development', 'management', 'sales', 'strategy', 'business strategy', 'sales management', 'account management', 'marketing', 'marketing strategy', 'leadership', 'strategic planning', 'crm', 'project management', 'negotiation', 'start-ups', 'product management', 'strategic partnerships', 'business planning', 'solution selling']",innovative diagnostics private limited,business development manager,"permanent, full time",manager,medical / therapy services,"$5,000","$7,000",monthly,"['job purpose:', 'build your career with this first class medical laboratory based in singapore.\xa0if you are looking for a career change with great working conditions then this is the job for you!\xa0 innovative diagnostics is highly regarded for its personalized service and excellence in laboratory testing. great career opportunities and rewards await those who are interested to join us as the young business has seen significant growth in the last 7 years. innovative diagnostics’ excellent company reputation centers around family values, positive culture and supporting employees for individual success.', '\xa0', 'job description:']","['develop and lead strategic sales initiative, new product launches and kol engagement.', 'develop, motivate and retain a high performance sales team.', 'establish a market leadership position for company products through direct physician sales and strategic alliances with pharmaceutical and research clients.', 'collect and analyse market intelligence, customer segmentation and marketing data analytics in order to grow the company’s brand and market access.', 'other activities and services as assigned by the ceo or senior management of the company.']",[None],"['preferably bachelor of science (e. g., healthcare administration, business administration, or related field).', 'at least 5 years related experience with healthcare facilities of similar size and structure (e.g., independent laboratories or hospitals) preferred.', 'ability to work independently and exercise good time management skills.']"
348,"['accounting', 'financial reporting', 'financial analysis', 'budgets', 'account reconciliation', 'financial accounting', 'microsoft excel', 'auditing', 'accounts payable', 'general ledger', 'internal controls', 'finance', 'accounts receivable', 'management', 'analysis', 'microsoft office', 'forecasting', 'payroll', 'financial statements', 'tax']",accountant-general's department,head (assurance),full time,,"accounting / auditing / taxation, public / civil service",,,,"['you will lead a team to carry out compliance reviews on our client agencies and provide recommendations. you will review the work of the team and provide coaching to staff.\xa0', 'requirements', 'if you are shortlisted for the position, you should hear from us within 30 days of the closing date of the advertisement.\xa0']","['tertiary qualifications, preferably in accountancy', 'professional qualifications such as ca / cia is preferred', 'more than 7 years of experience in the audit field and experience in leading audit teams', 'willing to travel, at least once a month', 'good working knowledge and understanding of risk assessment, internal controls and adoption of data analytics', 'strong analytical skills, resourceful, meticulous', 'good communication and interpersonal skills and able to interact with management at all levels']",[],[]
349,"['management', 'strategy', 'leadership', 'project management', 'program management', 'business development', 'business strategy', 'strategic planning', 'change management', 'cross-functional team leadership', 'management consulting', 'process improvement', 'marketing', 'business analysis', 'product management', 'crm', 'marketing strategy', 'start-ups', 'vendor management', 'risk management']",workforce singapore agency,senior manager  /  manager (data analytics) [data analytics division],full time,,public / civil service,,,,[None],"['analyse labour market and ef related datasets to identify key insights and trends', 'draw insights from analysis to facilitate policy, programme and system’s developments and enhancements', 'assist in the reporting of labour market analysis and ef statistics', 'acquire data from primary or secondary data sources including other government databases', 'work with stakeholders to facilitate their data request approvals', 'tertiary qualifications (preferably with specialisation in quantitative analysis e.g. statistics, economics)', 'up to 3 years of relevant working experience in the fields of data or statistical analysis for manager; 3 – 7 years of relevant experience for senior manager', 'proficient in at least one of the data analysis or visualisation tool (e.g. stata, sas, r, python, tableau)', 'good writing and communication skills', 'strong team player', 'able to take the initiative to address challenges and issues at work']",[],[]
350,"['research', 'market research', 'management', 'project management', 'data analysis', 'r&d', 'strategy', 'qualitative research', 'analysis', 'statistics', 'marketing research', 'strategic planning', 'business strategy', 'product development', 'analytics', 'leadership', 'business development', 'lifesciences', 'quantitative research', 'biotechnology']",ministry of manpower,"manager / senior manager, research & planning (corporate communications department) ",contract,manager,"marketing / public relations , public / civil service",,,,"['manager/senior manager, research & planning (corporate communications department)\xa0', 'the incumbent will help ensure mom’s public communications and engagement plans and actions are guided by data insights so that the data-driven approach will increase the impact and efficiency of mom’s communications and engagement actions.', '\xa0', 'responsibilities:', '\xa0', 'requirements: ']","['drive the use of data analytics in corporate communication’s work', 'work with internal teams to understand their needs, scope problems and develop plans to turn data into critical information to inform comms and engagement efforts.\xa0', 'regularly advise internal teams of the key patterns and trends observed from various data sources, and recommend actions.', 'perform data cleaning, pre-processing and other methods to facilitate meaningful analysis.', 'design dashboards and data visualization tools for data exploration and storytelling.', 'present analytics insights to internal teams and management.', 'work with internal teams to ensure smooth adoption of new data analytics solutions.', 'manage relationship with external research vendor(s) to maintain quality of data collection, analysis and reporting.', 'explore third party collaborations to develop novel analytic models.', 'collaborate with it services and other internal stakeholders to maintain and grow analytics capabilities.', 'tertiary qualification with background in analytics, computer science, engineering, mathematics, statistics or economics.', 'relevant work experience in an analytics or insights-related role. fresh graduates are welcome to apply.', 'training and experience in data visualisation using tools like tableau.', 'training and experience with statistical modelling tools such as r, python, spss.', 'ability to take strategic perspective to work issues, as well as drill down into the detail required to support the department’s needs.', 'strong analytical skills, with the ability to perform analysis of different types of data and recommend clear actions based on statistical inferences.', 'ability to collaborate with internal teams and stakeholders to drive decisive action based on analysis of data.', 'motivation to learn independently, and build up knowledge with the\xa0 team·', 'good communications and presentation skills']",[],[]
351,"['safety management systems', 'occupational health', 'accident investigation', 'industrial safety', 'ehs', 'risk assessment', 'construction safety', 'inspection', 'behavior based safety', 'hazard analysis', 'hazard recognition', 'industrial hygiene', 'workplace safety', 'construction', 'safety training', 'fire safety', 'hazardous materials', 'incident investigation', 'hazwoper', 'process safety']",maritime and port authority of singapore,manager /  senior manager (safety inspectorate),permanent,,public / civil service,,,,"['you will be part of the safety inspectorate department of port systems division which leads mpa’s efforts to build a safety-first culture that is critical to maritime safety in the port of singapore. you will assist in the development, co-ordination and execution of the safety@sea singapore master plan as well as mpa’s workplace safety and health (wsh) plan.', 'you will work in partnership with the industry stakeholders, associations and professional bodies to jointly raise safety awareness and instil a safety-first culture. in addition, you are required to plan key events such as mpa’s international safety@sea week as well as support key activities such as the national maritime safety at sea council meetings and mpa-ssa safety working group meetings. you would also need to support mpa’s response team in the management of marine incidents, including the regular analysis of safety-related incidents to develop enhanced safety measures.', 'you should possess a certificate of competency (deck) class 1 or a degree in any discipline, and be a team-player with strong analytical skills, demonstrated ability to make good judgment calls and effective negotiating skills. in addition, you need to be adept in managing both internal and external stakeholders. candidates with experience in the maritime industry and knowledge of digitalisation and data analytics would have an added advantage.', 'please note that only shortlisted candidates will be notified.']",[None],[],[]
352,"['research', 'market research', 'management', 'project management', 'data analysis', 'r&d', 'strategy', 'qualitative research', 'analysis', 'statistics', 'marketing research', 'strategic planning', 'business strategy', 'product development', 'analytics', 'leadership', 'business development', 'lifesciences', 'quantitative research', 'biotechnology']",skillsfuture singapore agency,"manager, intelligence and analytics [private education services division] (temporary)",full time,,public / civil service,,,,"['\xa0', ""as a manager, intelligence & analytics in skillsfuture singapore (ssg)'s private education services division [pesd], you will assist in managing data to build a knowledge base on singapore's private education sector to help inform educational policies and reviews."", 'your key responsibilities include:', '\xa0', 'requirements']","['collating, cleaning, analysingand reporting pe institutional and student data, with the objective of identifying sector trends and insights', 'developing templates for auto-generation of key statistics of data collected', 'processing data requests from various government agencies', 'the temporary contract is for the period of october 2018 to september 2019', 'tertiary qualifications in statistics, social sciences, economics or related quantitative disciplines', 'keen interest in data analytics and familiarity with data collection, cleaning, management, statistical methods and analytical tools', 'strong analytical and quantitative skills with the ability to apply analytical/computer packages for statistical work', 'competent in intermediate to advanced excel functions e.g. pivot tables and vba scripting. knowledge of other visualisation and analytical tools e.g. tableau, r and python will be an additional advantage', 'detailed-oriented with a sense of perspective']",[],[]
353,"['data analysis', 'sql', 'microsoft excel', 'microsoft office', 'analysis', 'databases', 'business analysis', 'data mining', 'business intelligence', 'project management', 'statistics', 'sas', 'research', 'r', 'access', 'analytics', 'management', 'powerpoint', 'spss', 'matlab']",singapore land authority,"senior executive, data management",contract,executive,"information technology, public / civil service","$2,800","$5,600",monthly,"['senior executive, data management', '\njob scope:', 'collaborate with various stakeholders such as business units, it teams and vendors to:', 'requirements:', '\xa0']","['define business requirements for the enterprise data warehouse.', 'identify and implement necessary changes to data, business processes and systems to achieve data harmonisation and consolidation.', 'develop and deploy the data warehouse solution.', 'seek visible ways (e.g. data analytics, data visualisation, applications) to apply or leverage data.\n\n', 'experience in database development, administration and data management technologies. \xa0practical experience in database design, development and maintenance will be an added advantage.', 'degree in information technology or geographic information systems (gis).', 'keen interest in working with various types of land data such as land administration, planning, leasing and maintenance.', 'team-player with good communication and interpersonal skills, as well as be able to work independently.', 'comfortable to work independently in new areas. pro-active, resourceful and able to suggest solutions.']",[],[]
354,"['human resources', 'recruiting', 'employee relations', 'performance management', 'talent acquisition', 'talent management', 'personnel management', 'employee engagement', 'hr policies', 'hris', 'organizational development', 'onboarding', 'training', 'interviews', 'employee benefits', 'hr consulting', 'management', 'technical recruiting', 'change management', 'sourcing']",republic polytechnic,office of human resources - manager  /  assistant manager,full time,,"education and training, public / civil service",,,,[None],"['supporting manpower planning initiatives on rp level as well as public sector level including generating statistics and future projections, coordinating workforce planning exercises', 'initiating and developing data analytics projects to solve business needs', 'analysing existing processes and recommending improvements using digitalisation tools such as robotic process automation tools', 'drafting of policies to meet organisation needs', 'manage hr operations in one assigned hr function, depending on work experience and department need', 'at least 3 years of experience in hr', 'with strong communication, interpersonal and influencing skills with the ability to build strong working relationships at all levels', 'meticulous, comfortable with numbers and good attention to details', 'must be it-savvy and able to use ms-excel expertly. experience with digital tools such as robotics process automation, chatbots and basic programming such as macro setup will be advantageous', 'able to take a hands-on approach and manage day-to-day operations independently and with a proven ability to multi-task, with strong planning and organising skills', 'prior experience in the public sector preferred.']",[],[]
355,"['management', 'strategy', 'leadership', 'project management', 'program management', 'business development', 'business strategy', 'strategic planning', 'change management', 'cross-functional team leadership', 'management consulting', 'process improvement', 'marketing', 'business analysis', 'product management', 'crm', 'marketing strategy', 'start-ups', 'vendor management', 'risk management']",workforce singapore agency,"principal manager, digital product / project manager [partners and operations division]",full time,,public / civil service,,,,"['responsibilities', 'we are looking for a principal manager to undertake the role of the product owner for wsg’s job portal (mycareersfuture.sg) using agile development.', '\xa0', 'you will also be expected to supervise both an internal team of product owners as well as handle our appointed technical and developer partners.', '\xa0', '\xa0', 'you will also be required to have the following skills:', 'project management', '\xa0', 'people management', '\xa0', 'data analysis', '\xa0', 'decision making ', '\xa0', 'requirements']","['managing product strategy, roadmap and lifecycle from internal resources, teams, capabilities and vendors from ideation to rapid concept prototyping', 'ability to break down propositions into requirements from different cross functional delivery teams', 'developing ways to quickly test our product quantitatively (e.g., a/b testing) and qualitatively (e.g., user testing).', 'optimizing the product using data analytics and user feedback', 'refining customer experience for new capabilities in partnership with 3rd-party solution provider, marketing, and other key stakeholders.\xa0', 'completive assessments, research new technologies & services, assess competitors, and new entrants', 'define and manage project scope and implementation', 'manage project timelines and resources effectively', 'monitor project outcomes', 'able to work in effectively in a team', 'able to work with vendors and communicate requirements effectively', 'analyse data and trends and make recommendations on improvements\xa0', 'understand product management metrics', 'able to effectively assess and make recommendations', 'tertiary qualifications or equivalent experience in a relevant field', 'excellent communication skills with the ability to work closely with both product owners and engineers', 'good knowledge of data platforms, including assessment of technical requirements', 'at least 3 years of experience in data analytics, or business intelligence', '5-7 years of experience as a product owner in agile teams']",[],[]
356,"['management', 'customer service', 'sales', 'microsoft office', 'leadership', 'marketing', 'training', 'microsoft excel', 'project management', 'business development', 'social media', 'strategic planning', 'powerpoint', 'recruiting', 'retail', 'microsoft word', 'team building', 'marketing strategy', 'inventory management', 'business strategy']",republic polytechnic,"school of sports, health and leisure - assistant manager  /  deputy manager  /  manager  (continuing education and training)",full time,,"education and training, public / civil service",,,,"['school of sports, health and leisure, whose vision is to be the leading educator in the area of sports, health and leisure, invites applicants to join its motivated and passionate team.', '\xa0', 'job responsibilities:', '\xa0', 'requirements:', '\xa0', 'additional knowledge/skills/experience in the following areas will be an advantage:']","['support school department in course and student management matters, e.g. time-tabling, trainers scheduling, assessment plan etc.', 'support school department in course registration and application screening matters', 'central information depository for schools’ tactical marketing activities, e.g. website updates, social media campaigns', 'ensure proper documentation for work-learn programmes e.g. documentation verification; consolidation of details for funds disbursement', 'manage business development and course administration processes towards successful closure with partner companies', 'support in areas of events organisation and management, conduct and participation of outreach programmes/events, promotion of cet through different publicity channels including roadshows and digital platforms', 'at least 3-5 years of relevant experience in educational administration, preferably with some experience in sales and/or business development of adult training\xa0', 'excellent interpersonal and communication skills in dealing with people of all levels', 'must be it-proficient in ms office,\xa0and\xa0familiar in operating web and digital marketing platforms', 'customer relationship management system (crms), relationship building, customer focus, brand management, data analytics, project management, budgeting and account management, sports, health and wellness industries']",[],[]
357,"['event management', 'event planning', 'marketing', 'public relations', 'social media', 'marketing communications', 'management', 'social media marketing', 'marketing strategy', 'customer service', 'corporate events', 'social networking', 'budgets', 'leadership', 'advertising', 'sales', 'project management', 'public speaking', 'microsoft office', 'sponsorship']",workforce singapore agency,"manager, event operations [partners and operations division]",full time,,public / civil service,,,,"['\xa0', 'responsibilities:', 'requirements:', 'knowledge', 'understanding of:', 'skills', 'attitudes / attributes', 'others', '\xa0']","['provide implementation support to increase adoption of programme for job seekers and employers through career events (career fairs, networking sessions and workshops', 'consult with internal or external stakeholders to determine event objectives and requirements', ""conceptualize career events' format and pilot new initiatives to enhance job matching efficacy"", ""advocate jobseekers' requirements and skills competencies to employers to minimize mismatch"", 'provide job referrals to the database of jobseekers registered with workforce singapore to relevant career events and workshops', 'appoint and manage vendor to provide logistics support. including pre-registration, day of event and post event tracking', 'prepare budget requirements for career events, manage utilisation, verify billing and prepare for audit', ""monitor career events' performance, manage information and analyze trends"", ""organize after-action review to evaluate participants' turnout, identify gaps, gather feedback from internal and external stakeholders, and propose areas of improvement"", 'tertiary qualifications', 'minimum 2 years (manager) to 7 years (senior manager) relevant experience in development, implementation and management of new programme initiatives', 'workforce segment needs and challenges', 'sectoral manpower skills and trends', 'employer needs and challenges in hiring', 'hr hiring process\xa0', 'national employment policies', 'knowledge of workforce singapore (wsg) programmes will be an added advantage', 'budget management\xa0  effective utilization of allocated budget based on best value for money\xa0  ', 'effective utilization of allocated budget based on best value for money\xa0', 'communication  effective business writing skills and presentation skills with different stakeholders  ', 'effective business writing skills and presentation skills with different stakeholders', ""creativity  ability to conceptualize and propose different career matching activities or workshops to enhance job seekers' employability  "", ""ability to conceptualize and propose different career matching activities or workshops to enhance job seekers' employability"", 'critical thinking  using logic and reasoning to identify alternative solutions or approaches to problems  ', 'using logic and reasoning to identify alternative solutions or approaches to problems', 'customer service  effective interpersonal skills  ', 'effective interpersonal skills', 'data analytics  analyze effectiveness of career events and continuous review to enhance the event outcome  ', 'analyze effectiveness of career events and continuous review to enhance the event outcome', 'event management  conceptualize event format to minimize mismatch  ', 'conceptualize event format to minimize mismatch', 'infocomm technology  savvy in using microsoft office and a quick learner for other software programmes  ', 'savvy in using microsoft office and a quick learner for other software programmes', 'networking  network with employers to find out their hiring process  ', 'network with employers to find out their hiring process', 'negotiation  negotiate and manage vendors for the event logistics requirements  ', 'negotiate and manage vendors for the event logistics requirements', 'people management  work with internal and external stakeholders to execute different career matching activities  ', 'work with internal and external stakeholders to execute different career matching activities', 'responsible team player who will see through tasks assigned', 'adaptable and flexible to meet with last minute or unexpected changes', 'able to analyze information and make decision or solve problems', 'team player who can rally resources to ensure the success of each event', 'established network of industry partners or associations', 'established network of training providers / adult educators', 'had prior working relationship with self-help groups and/or community partners']",[],[]
358,"['event management', 'event planning', 'marketing', 'public relations', 'social media', 'marketing communications', 'management', 'social media marketing', 'marketing strategy', 'customer service', 'corporate events', 'social networking', 'budgets', 'leadership', 'advertising', 'sales', 'project management', 'public speaking', 'microsoft office', 'sponsorship']",workforce singapore agency,"manager, event operations [partners and operations division]",full time,,public / civil service,,,,"['\xa0', 'responsibilities:', 'requirements:', 'knowledge', 'understanding of:', 'skills', 'attitudes / attributes', 'others', '\xa0']","['provide implementation support to increase adoption of programme for job seekers and employers through career events (career fairs, networking sessions and workshops', 'consult with internal or external stakeholders to determine event objectives and requirements', ""conceptualize career events' format and pilot new initiatives to enhance job matching efficacy"", ""advocate jobseekers' requirements and skills competencies to employers to minimize mismatch"", 'provide job referrals to the database of jobseekers registered with workforce singapore to relevant career events and workshops', 'appoint and manage vendor to provide logistics support. including pre-registration, day of event and post event tracking', 'prepare budget requirements for career events, manage utilisation, verify billing and prepare for audit', ""monitor career events' performance, manage information and analyze trends"", ""organize after-action review to evaluate participants' turnout, identify gaps, gather feedback from internal and external stakeholders, and propose areas of improvement"", 'tertiary qualifications', 'minimum 2 years (manager) to 7 years (senior manager) relevant experience in development, implementation and management of new programme initiatives', 'workforce segment needs and challenges', 'sectoral manpower skills and trends', 'employer needs and challenges in hiring', 'hr hiring process\xa0', 'national employment policies', 'knowledge of workforce singapore (wsg) programmes will be an added advantage', 'budget management\xa0  effective utilization of allocated budget based on best value for money\xa0  ', 'effective utilization of allocated budget based on best value for money\xa0', 'communication  effective business writing skills and presentation skills with different stakeholders  ', 'effective business writing skills and presentation skills with different stakeholders', ""creativity  ability to conceptualize and propose different career matching activities or workshops to enhance job seekers' employability  "", ""ability to conceptualize and propose different career matching activities or workshops to enhance job seekers' employability"", 'critical thinking  using logic and reasoning to identify alternative solutions or approaches to problems  ', 'using logic and reasoning to identify alternative solutions or approaches to problems', 'customer service  effective interpersonal skills  ', 'effective interpersonal skills', 'data analytics  analyze effectiveness of career events and continuous review to enhance the event outcome  ', 'analyze effectiveness of career events and continuous review to enhance the event outcome', 'event management  conceptualize event format to minimize mismatch  ', 'conceptualize event format to minimize mismatch', 'infocomm technology  savvy in using microsoft office and a quick learner for other software programmes  ', 'savvy in using microsoft office and a quick learner for other software programmes', 'networking  network with employers to find out their hiring process  ', 'network with employers to find out their hiring process', 'negotiation  negotiate and manage vendors for the event logistics requirements  ', 'negotiate and manage vendors for the event logistics requirements', 'people management  work with internal and external stakeholders to execute different career matching activities  ', 'work with internal and external stakeholders to execute different career matching activities', 'responsible team player who will see through tasks assigned', 'adaptable and flexible to meet with last minute or unexpected changes', 'able to analyze information and make decision or solve problems', 'team player who can rally resources to ensure the success of each event', 'established network of industry partners or associations', 'established network of training providers / adult educators', 'had prior working relationship with self-help groups and/or community partners']",[],[]
359,"['management', 'negotiation', 'leadership', 'microsoft office', 'project management', 'budgets', 'human resources', 'training', 'strategic planning', 'team building', 'project planning', 'recruiting', 'change management', 'customer service', 'team leadership', 'process improvement', 'analysis', 'operations management', 'team management', 'microsoft excel']",republic polytechnic,school of management and communication - assistant manager  /  deputy manager  /  manager  (continuing education and training),full time,,"education and training, public / civil service",,,,"['job responsibilities:', '\xa0', 'requirements:', '\xa0', 'additional knowledge/skills/experience in the following areas will be an advantage:']","['identify and develop business opportunities in corporate training space', 'gather market intelligence on cet demand and training trends and generate corporate leads.', 'develop commercial proposals in response to company needs and conduct sales pitches towards successful closure', 'organise relationship-building and networking events', 'promote cet through different publicity channels including roadshows and digital platforms', 'manage business development and course administration processes', 'at least 5 years of relevant experience preferably in sales, marketing and/or business development of adult training\xa0', 'excellent interpersonal and communication skills in dealing with people of all levels', 'must be it-proficient in ms office,\xa0and\xa0familiar in operating web and digital marketing platforms', 'pro-active team player, meticulous\xa0and able to\xa0multi-task effectively', 'able to work during evenings and weekends', 'customer relationship management system (crms), relationship building, customer focus, brand management, data analytics, project management, budgeting and account management']",[],[]
360,"['management', 'negotiation', 'customer service', 'microsoft office', 'leadership', 'budgets', 'training', 'human resources', 'microsoft excel', 'project management', 'project planning', 'strategic planning', 'change management', 'recruiting', 'team leadership', 'process improvement', 'team building', 'analysis', 'operations management', 'team management']",republic polytechnic,school of technology for the arts - assistant manager  /  deputy manager  /  manager  (continuing education and training),full time,,"education and training, public / civil service",,,,"['job responsibilities', 'requirements ', 'additional knowledge/skills/experience in the following areas will be an advantage:', '\nthe successful candidate is expected to keep up-to-date with market and industry trends, competitors and sales strategies in the field of adult training.\xa0']","['research, identify and meet potential clients to develop a pipeline of business for the conduct of adult training', 'promote courses through presentations, pitches, and roadshows', 'manage - track and complete - course application processes with internal departments', 'recommend innovative strategies to promote courses and attract signups', 'propose new courses by matching clients’ requirements with school’s expertise', 'maintain relationships with existing clients and build new ones\n\n', 'at least 5 years of relevant experience preferably in sales and/or business development of educational courses\xa0', 'excellent interpersonal and communication skills in dealing with people of all levels\n\n', 'customer relationship management system (crms), relationship building, customer focus, brand management, data analytics, project management, budgeting and account management, creative industries']",[],[]
361,"['management', 'negotiation', 'customer service', 'microsoft office', 'leadership', 'budgets', 'training', 'human resources', 'microsoft excel', 'project management', 'project planning', 'strategic planning', 'change management', 'recruiting', 'team leadership', 'process improvement', 'team building', 'analysis', 'operations management', 'team management']",republic polytechnic,school of hospitality - assistant manager  /  deputy manager  /  manager  (continuing education and training),full time,,"education and training, public / civil service",,,,"['job responsibilities:', '\xa0', 'requirements:', '\xa0', 'additional knowledge/skills/experience in the following areas will be an advantage:']","['identify and develop business opportunities in corporate training space', 'gather market intelligence on cet demand and training trends and generate corporate leads.', 'develop commercial proposals in response to company needs and conduct sales pitches towards successful closure', 'organise relationship-building and networking events', 'promote cet through different publicity channels including roadshows and digital platforms', 'manage business development and course administration processes', 'recommend innovative strategies to promote courses and attract signups', 'propose new courses by matching clients’ requirements with school’s expertise', 'at least 5 years of relevant experience preferably in sales and/or business development of adult training\xa0', 'excellent interpersonal and communication skills in dealing with people of all levels', 'must be it-proficient in ms office,\xa0and\xa0familiar in operating web and digital marketing platforms', 'pro-active team player, meticulous\xa0and ability to\xa0multi-task', 'customer relationship management system (crms), relationship building, customer focus, brand management, data analytics or project management.']",[],[]
362,"['management', 'negotiation', 'customer service', 'microsoft office', 'leadership', 'budgets', 'training', 'human resources', 'microsoft excel', 'project management', 'project planning', 'strategic planning', 'change management', 'recruiting', 'team leadership', 'process improvement', 'team building', 'analysis', 'operations management', 'team management']",republic polytechnic,school of infocomm - assistant manager  /  deputy manager  /  manager  (continuing education and training),full time,,"education and training, public / civil service",,,,"['job responsibilities:', '\xa0', 'requirements:', '\xa0', 'additional knowledge/skills/experience in the following areas will be an advantage:', 'the successful candidate is expected to keep up-to-date with market and industry trends, competitors and sales strategies in the field of adult training.\xa0']","['identify and develop business opportunities in corporate training space', 'gather market intelligence on cet demand and training trends and generate corporate leads.', 'develop commercial proposals in response to company needs and conduct sales pitches towards successful closure', 'organise relationship-building and networking events', 'promote cet through different publicity channels including roadshows and digital platforms', 'at least 5 years of relevant experience preferably in sales and/or business development of adult training\xa0', 'excellent interpersonal and communication skills in dealing with people of all levels', 'must be it-proficient in ms office,\xa0and\xa0familiar in operating web and digital marketing platforms', 'customer relationship management system (crms), relationship building, customer focus, brand management, data analytics, project management, budgeting and account management, it/infocomm industries']",[],[]
363,"['teaching', 'research', 'public speaking', 'higher education', 'project management', 'editing', 'curriculum design', 'curriculum development', 'management', 'analysis', 'nonprofits', 'data analysis', 'leadership', 'lecturing', 'policy', 'program management', 'strategic planning', 'strategy', 'matlab', 'university teaching']",republic polytechnic,school of infocomm - associate lecturer (business applications   / business information systems),full time,,"education and training, public / civil service",,,,"['responsibilities', 'the associate lecturers will contribute and deliver module(s) in the following area(s):\n•\xa0modules under the full-time diploma in business applications, example: healthcare applications.\n•\xa0modules under the full-time diploma in business information systems, example: object oriented programming, web applications in .net, business intelligence.\n\nassociate lecturers are to be able to commit to at least two days per week to class facilitation, and able to perform invigilation duties when required.', '\xa0', 'requirements', 'applicants should have a relevant degree in it / computer science or equivalent with at least 3-5 years of relevant industry experience in one or more of the following areas:\n• knowledge in data analytics\n• knowledge in sap is-healthcare (patient management and patient accounting)\n• experience in clinical systems, healthcare standards such as hl7 messaging, icd9/icd10\n• knowledge in singapore healthcare services and its financial schemes and subsidies for patient\n• experience in fintech industry\n• support/ consultancy/ development of it solutions\n• software development and programming such as php, python, java, .net, ios and android programming\n• designing, developing and implementing iot related solutions\n• related it industry certifications will be an added advantage']",[None],[],[]
364,"['management', 'project management', 'leadership', 'microsoft office', 'budgets', 'human resources', 'strategic planning', 'customer service', 'marketing', 'microsoft excel', 'event planning', 'project planning', 'training', 'research', 'strategy', 'team building', 'event management', 'microsoft word', 'recruiting', 'time management']",republic polytechnic,school of engineering - assistant manager  /  deputy manager  /  manager (continuing education and training),full time,,"education and training, public / civil service","$4,200","$7,300",monthly,"['job responsibilities:', 'requirements:', '\xa0', 'additional knowledge/skills/experience in the following areas will be an advantage:', '\xa0']","['identify and develop business opportunities in corporate training space', 'gather market intelligence on cet demand and training trends and generate corporate leads.', 'develop commercial proposals in response to company needs and conduct sales pitches towards successful closure', 'organise relationship-building and networking events', 'promote cet through different publicity channels including roadshows and digital platforms', 'manage business development and course administration processes\n\n', 'at least 5 years of relevant experience preferably in sales and/or business development of adult training\xa0', 'excellent interpersonal and communication skills in dealing with people of all levels', 'must be it-proficient in ms office,\xa0and\xa0familiar in operating web and digital marketing platforms', 'pro-active team player, meticulous\xa0and ability to\xa0multi-task', 'customer relationship management system (crms), relationship building, customer focus, brand management, data analytics, project management, budgeting and account management']",[],[]
365,"['management', 'project management', 'leadership', 'microsoft office', 'budgets', 'human resources', 'strategic planning', 'customer service', 'marketing', 'microsoft excel', 'event planning', 'project planning', 'training', 'research', 'strategy', 'team building', 'event management', 'microsoft word', 'recruiting', 'time management']",republic polytechnic,school of applied science - assistant manager  /  deputy manager  /  manager (continuing education and training),full time,,"education and training, public / civil service","$4,200","$7,300",monthly,"['job responsibilities:', 'requirements:', '\xa0', 'additional knowledge/skills/experience in the following areas will be an advantage:', '\xa0', '\xa0']","['identify and develop business opportunities in corporate training space', 'gather market intelligence on cet demand and training trends and generate corporate leads.', 'develop commercial proposals in response to company needs and conduct sales pitches towards successful closure', 'organise relationship-building and networking events', 'promote cet through different publicity channels including roadshows and digital platforms', 'manage business development and course administration processes\n\n', 'at least 5 years of relevant experience preferably in sales and/or business development of adult training\xa0', 'excellent interpersonal and communication skills in dealing with people of all levels', 'must be it-proficient in ms office,\xa0and\xa0familiar in operating web and digital marketing platforms', 'pro-active team player, meticulous\xa0and ability to\xa0multi-task', 'customer relationship management system (crms), relationship building, customer focus, brand management, data analytics, project management, budgeting and account management']",[],[]
